Epoch 303    Validation MSELoss: 5.810585e-04    Training MSELoss: 1.533793e-04
Epoch 304    Validation MSELoss: 1.450197e-04    Training MSELoss: 1.368769e-04
Epoch 305    Validation MSELoss: 2.526928e-04    Training MSELoss: 1.272927e-04
Epoch 306    Validation MSELoss: 1.370695e-04    Training MSELoss: 1.657415e-04
Epoch 307    Validation MSELoss: 3.733238e-04    Training MSELoss: 1.798351e-04
Epoch 308    Validation MSELoss: 2.564881e-04    Training MSELoss: 1.295683e-04
Epoch 309    Validation MSELoss: 2.434373e-04    Training MSELoss: 1.657861e-04
Epoch 310    Validation MSELoss: 2.120002e-04    Training MSELoss: 1.456732e-04
Epoch 311    Validation MSELoss: 1.606137e-04    Training MSELoss: 1.458888e-04
Epoch 312    Validation MSELoss: 1.909025e-04    Training MSELoss: 1.483882e-04
Epoch 313    Validation MSELoss: 1.248144e-04    Training MSELoss: 1.458865e-04
Epoch 314    Validation MSELoss: 5.531505e-04    Training MSELoss: 4.649080e-04
Epoch 315    Validation MSELoss: 3.950591e-04    Training MSELoss: 1.233453e-04
Epoch 316    Validation MSELoss: 2.820118e-04    Training MSELoss: 1.489830e-04
Epoch 317    Validation MSELoss: 2.500655e-04    Training MSELoss: 1.398512e-04
Epoch 318    Validation MSELoss: 1.116966e-04    Training MSELoss: 1.551196e-04
Epoch 319    Validation MSELoss: 1.432545e-04    Training MSELoss: 4.963313e-04
Epoch 320    Validation MSELoss: 1.369133e-04    Training MSELoss: 1.169233e-04
Epoch 321    Validation MSELoss: 2.793756e-04    Training MSELoss: 1.698059e-04
Epoch 322    Validation MSELoss: 4.421332e-04    Training MSELoss: 1.493812e-04
Epoch 323    Validation MSELoss: 1.668260e-04    Training MSELoss: 1.387033e-04
Epoch 324    Validation MSELoss: 2.462728e-04    Training MSELoss: 1.586939e-04
Epoch 325    Validation MSELoss: 1.529952e-04    Training MSELoss: 1.377834e-04
Epoch 326    Validation MSELoss: 1.370096e-04    Training MSELoss: 1.598528e-04
Epoch 327    Validation MSELoss: 2.345668e-04    Training MSELoss: 3.468877e-04
Epoch 328    Validation MSELoss: 2.041576e-04    Training MSELoss: 1.279307e-04
Epoch 329    Validation MSELoss: 1.752483e-04    Training MSELoss: 1.271520e-04
Epoch 330    Validation MSELoss: 1.913929e-04    Training MSELoss: 2.820798e-04
Epoch 331    Validation MSELoss: 3.386317e-04    Training MSELoss: 1.275463e-04
Epoch 332    Validation MSELoss: 1.719630e-04    Training MSELoss: 1.528066e-04
